Date,Description,Memo,Check Number,Withdrawal,Deposit,Balance
"10/30/2025","8831 LOWE'S #1969              FTM","WEATHERFORD, TX","","82.21","0.00","143.56"
"10/30/2025","PAYMENT RCVD-8831 CASH APP*JAC FTM","OAKLAND, CA","","0.00","98.25","225.77"
"10/30/2025","STRIPE           TRANSFER      ACH","","","0.00","31.24","127.52"
"10/29/2025","WWW TO   XX XXXXXX140 7","","","10.00","0.00","96.28"
"10/27/2025","WWW FM   XX XXXXXX848 1","","","0.00","100.00","106.28"
"10/24/2025","8831 294 BRAUMS STORE          FTM","GRAHAM, TX","","3.99","0.00","6.28"
"10/24/2025","8831 PANDA EXPRESS #1970       FTM","BENBROOK, TX","","12.02","0.00","10.27"
"10/22/2025","8831 294 BRAUMS STORE          FTM","GRAHAM, TX","","3.99","0.00","22.29"
"10/21/2025","8831 HEIFER INTL               FTM","HEIFER.ORG, AR","","25.00","0.00","26.28"
"10/21/2025","8831 294 BRAUMS STORE          FTM","GRAHAM, TX","","2.91","0.00","51.28"
"10/21/2025","8831 MCDONALD'S FX3251         FTM","HUDSON OAKS, TX","","7.33","0.00","54.19"
"10/20/2025","WWW TO   XX XXXXXX140 7","","","45.00","0.00","61.52"
"10/20/2025","DEPOSIT","","","0.00","100.00","106.52"
"10/20/2025","8831 GRAHAM FOOD MART          FTM","GRAHAM, TX","","1.00","0.00","6.52"
"10/19/2025","8831 SOUTHWESTERN ADVANTAGE    FTM","888-551-5901, TN","","122.00","0.00","7.52"
"10/19/2025","8831 SWADVANTAGE.COM           FTM","888-551-5901, TN","","24.95","0.00","129.52"
"10/19/2025","8831 GRAHAM FOOD MART          FTM","GRAHAM, TX","","1.00","0.00","154.47"
"10/19/2025","8831 UNITED SUPERMARKET 520    FTM","GRAHAM, TX","","25.55","0.00","155.47"
"10/19/2025","8831 T3 CHAT                   FTM","T3.CHAT, CA","","8.00","0.00","181.02"
"10/17/2025","8831 GRAHAM FOOD MART          FTM","GRAHAM, TX","","1.00","0.00","189.02"
"10/17/2025","8831 TRACTOR SUPPLY # 1551 FOU FTM","GRAHAM, TX","","2.37","0.00","190.02"
"10/17/2025","8831 WAL WAL-MART #XXXX XX2999 FTM","GRAHAM, TX","","4.96","0.00","192.39"
"10/16/2025","8831 NST THE HOME DEPOT XX0480 FTM","WEATHERFORD, TX","","42.15","0.00","197.35"
"10/16/2025","PAYMENT RCVD-8831 CASH APP*JAC FTM","OAKLAND, CA","","0.00","49.12","239.50"
"10/16/2025","WWW TO   XX XXXXXX140 7","BILLS","","114.00","0.00","190.38"
